doc_name,page_num,sentence_num,sentence
What about dreams  State of the art and open questions,0,18,"Dreaming is a some investigations have highlighted that dream features mirror the composite experience occurring during sleep that includes images, development of cognitive processes (Mangiaruga et al., 2018; Scarpell sensations, thoughts, emotions, apparent speech, and motor activity."
What about dreams  State of the art and open questions,0,19,"et al., 2019a)."
What about dreams  State of the art and open questions,0,20,"This is an open access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited."
What about dreams  State of the art and open questions,0,21,© 2022 The Authors.
What about dreams  State of the art and open questions,0,22,Journal of Sleep Research published by John Wiley & Sons Ltd on behalf of European Sleep Research Society.
What about dreams  State of the art and open questions,0,23,J Sleep Res.
What about dreams  State of the art and open questions,0,24,2022;31:e13609.
What about dreams  State of the art and open questions,0,25,wileyonlinelibrary.com/journal/jsr 1 of 12 https://doi.org/10.1111/jsr.13609
What about dreams  State of the art and open questions,1,0,20f 12 Pies     SCARPELLI er AL.
What about dreams  State of the art and open questions,1,1,"Additionally, a growing number of studies have suggested that dream experience might be considered an expression of human wellbeing (Frankl et al., 2021; Scarpelli et al., 2022) and has a pivotal role in emotional regulation, as suggested by some neurobiological findings (Nielsen & Lara-Carrasco, 2007)."
What about dreams  State of the art and open questions,1,2,"For instance, dream recall and night- mare frequency increase when subjects are exposed to adverse and trau- matic events (e.g., Hartmann & Brezler, 2008; Nielsen et al., 2006; Sandman et al., 2013; Tempesta et al., 2013)."
What about dreams  State of the art and open questions,1,3,"Also, the qualitative charac- teristics of dream reports change in parallel with the emotional charge of waking experiences (Schredl, 2006; Scarpelli et al., 2021)."
What about dreams  State of the art and open questions,1,4,"It should be highlighted that psychoanalysis had primacy in dream research until the discovery of the rapid eye movement (REM) sleep stage (Aserinsky & Kleitman, 1953)."
What about dreams  State of the art and open questions,1,5,"The interpretation of oneiric con- tents was one of the main focusses of the Freudian theories positing that dreaming allows access to the unconscious functions of the mind in neurosis treatment (Freud, 1953)."
What about dreams  State of the art and open questions,1,6,Aserinsky and Kleitman (1953) observed specific intervals with rapid and recurrent eye movement and bursts of alpha activity comparable to those that occur during wakefulness.
What about dreams  State of the art and open questions,1,7,"The enthusiasm linked to the discovery of REM sleep considerably influenced dreaming research in several ways, and the neuroscientific study of dreaming is relatively recent."
What about dreams  State of the art and open questions,1,8,"Several studies have attempted to identify the neurobiological bases of dream experi- ence through a neuropsychological approach (Solms, 1997, 2000), neuroimaging (Maquet et al., 1996) and electrophysiological tech- niques (Marzano et al., 2011; Siclari et al., 2017)."
What about dreams  State of the art and open questions,1,9,"Although several studies provide compelling evidence for the existence of specific brain mechanisms predicting dream recall (e.g., Siclari et al., 2017), many questions are still at the centre of the debate."
What about dreams  State of the art and open questions,1,10,The present paper summarises the main open issues concerning the neuroscientific study of dream experience.
What about dreams  State of the art and open questions,1,11,"Specifically, the review offers an overview about (a) the question related to the REM-non- REM (NREM) sleep dichotomy, (b) the state-trait-like problem, (c) the relationship between waking and dreaming state and the manipulation of dreaming, (d) the issue concerning the access to dream experience, (e) the role of nightmares, and (f) the debate on dreamwork in  psychotherapy."
What about dreams  State of the art and open questions,1,12,1.1.
What about dreams  State of the art and open questions,1,13,"| The REM-NREM sleep dichotomy  Acclassical view of the neurobiological basis of the oneiric activity pos- tulates the existence of a close relationship between dream experi- ence and REM sleep (Hobson et al., 2000; Nielsen, 2000)."
What about dreams  State of the art and open questions,1,14,"This hypothesis was based on early electroencephalographic (EEG) obser- vations showing that >70% of individuals awakened during REM sleep reported dreams, while dream recall at the awakening from other sleep stages was rare (Aserinsky & Kleitman, 1955)."
What about dreams  State of the art and open questions,1,15,"According to this view, the wake-like high-frequency EEG pattern characterising REM sleep would represent the ideal electrophysiological scenario for the occurrence of dream experiences, while the slow-frequency activity characterising NREM sleep would be associated with the absence of  oneiric activity."
What about dreams  State of the art and open questions,1,16,"However, using different criteria to collect dream  reports, several studies found that successful recall of a conscious experience can be frequently observed also after NREM awakenings, and in a minority of cases no dream experience was reported after REM awakenings (Foulkes, 1962; Nielsen, 2000)."
What about dreams  State of the art and open questions,1,17,"Moreover, dream recall is still possible after lesions in brain regions involved in REM sleep generation, while the total disappearance of dream recall can be observed after focal forebrain lesions without an impact on REM sleep (Solms, 2000)."
What about dreams  State of the art and open questions,1,18,"Also, dream experience is preserved after pharmacolog- ical suppression of REM sleep (Landolt et al., 2001; Oudiette et al., 2012)."
What about dreams  State of the art and open questions,1,19,"Finally, dream recall has been recently associated with a similar electrophysiological response after REM and NREM sleep (D'Atri et al., 2019; Siclari et al., 2017)."
What about dreams  State of the art and open questions,1,20,"These results suggest that (a) dream and REM sleep are controlled by distinct brain mechanisms, (b) the postulate of a clear distinction between presence and absence of dreaming respectively in REM and NREM has not a solid support, and therefore (c) dreams can occur in any sleep stage."
What about dreams  State of the art and open questions,1,21,A dichotomy between NREM and REM sleep has been also hypo- thesised for the qualitative aspects of dreams.
What about dreams  State of the art and open questions,1,22,"Indeed, it has been pro- posed that REM and NREM sleep exhibit different kinds of mental activity."
What about dreams  State of the art and open questions,1,23,"According to this view, REM sleep is characterised by an emotional, vivid, and bizarre “dream-like” mentation (Antrobus, 1983; Casagrande et al., 1996; Foulkes, 1967; Foulkes & Schmidt, 1983; Waterman et al., 1993), while NREM mental activity would be “thought-like”, with reduced emotional load, greater fragmentation, and contents more similar to waking thoughts (Foulkes, 1967; Rechtschaffen et al., 1963)."
What about dreams  State of the art and open questions,1,24,"Nevertheless, the existence of a clear-cut REM-NREM dichotomy has been questioned also in this case based on several findings: (a) “dream-like” reports have been observed also after NREM sleep (Monroe et al., 1965; Solms, 2000; Zimmerman, 1970) and (b) the qualitative differences between REM and NREM dream reports disappear when their length is equated (Antrobus, 1983; Cavallero et al., 1992; Foulkes & Schmidt, 1983)."
What about dreams  State of the art and open questions,1,25,"In light of these observations, the assumption that the presence/ absence and the phenomenological aspects of dream experiences strictly depend on the sleep stage per se is simplistic."
What about dreams  State of the art and open questions,1,26,"It is worth not- ing that a precise definition of the time-coupling between the sleep stages and the actual occurrence of dream experience is difficult, as the access to sleep mentation is possible only in an indirect way through dream reports after the awakening (see the paragraph “What about direct access to dream experience?”)."
What about dreams  State of the art and open questions,1,27,"At the same time, the occurrence of dream experiences in both REM and NREM sleep, two physiological stages characterised by distinct electrophysiological and neurotransmitters patterns, appears paradoxical."
What about dreams  State of the art and open questions,1,28,"Such considerations raised the question of what mechanisms facilitate/inhibit the recall of a conscious experience at the awakening from different sleep stages, and what factors can explain intra- and inter-individual variability in  the phenomenology of the oneiric activity."
What about dreams  State of the art and open questions,1,29,"1.2 | State- and trait-like facets of dreams  Stable individual characteristics (trait-like factors) can impact dreams,  explaining inter-individual variability."
What about dreams  State of the art and open questions,1,30,"Sociodemographic factors like     wos} PapHO[UMOG ""F “ZZOZ “698TSIEL     LOT opywos:Kaptav-Kreaquyar     -IGET OUNTUO AAIEAA “6O9E     g S 8 § 2 & 5     puoo-pur-suus9} (1109      jn x0y Aaeaqny auyUG A2qtyy     8 & < ° 2 3 ="
What about dreams  State of the art and open questions,2,0,SCARPELLI er At.
What about dreams  State of the art and open questions,2,1,"gender (Schredl & Reinhard, 2008; Settineri et al., 2019) and age (Mangiaruga et al., 2018; Scarpelli et al., 2019a) can predict dream recall."
What about dreams  State of the art and open questions,2,2,"Interest in dreams (Bealulieu-Prevost & Zadra, 2007), visual imagery abilities (Cory & Ormiston, 1975), personality dimensions like openness to experience, absorption, psychological boundaries (Beaulieu-Prevost & Zadra, 2007), and predisposition to suppress neg- ative emotions and thoughts (Malinowski, 2015) appear related to individual differences in the oneiric activity."
What about dreams  State of the art and open questions,2,3,"Crucially, neuroimaging studies provided evidence about the rela- tionship between dream features and stable brain anatomical and functional characteristics."
What about dreams  State of the art and open questions,2,4,"Qualitative facets of dreams have been associated with volumetric and structural measures of the amygdala- hippocampus complex in healthy subjects (De Gennaro et al., 2011) and amygdala volume, dorsomedial prefrontal cortical thickness, and dopaminergic activity in patients with Parkinson's disease (De Gennaro et al., 2016)."
What about dreams  State of the art and open questions,2,5,"Moreover, compared to low dream recallers, high dream recallers showed (a) greater medial prefrontal cortex white-matter density (Vallat et al., 2018); (b) higher regional cerebral blood flow in the temporo-parietal junction during wakeful- ness, Stage 3, and REM sleep and in medial prefrontal cortex during wakefulness and REM sleep (Eichenlaub et al., 2014a); (c) enhanced functional connectivity within the default mode network (DMN) and between areas of the DMN and memory-related regions immediately after the awakening (Vallat et al., 2020); and (d) larger event-related potentials to distracting sounds even during active listening, arguing for enhanced bottom-up processing of irrelevant sounds but also an enhanced recruitment of top-down attention as suggested by larger contingent negative variation during target expectancy and P3b to target sounds (Ruby et al., 2021)."
What about dreams  State of the art and open questions,2,6,"Taken together, these findings high- light that stable individual features of the brain structure and activa- tion patterns can explain inter-individual differences in dream experience."
What about dreams  State of the art and open questions,2,7,"Beyond the influence of trait-like factors, a growing number of studies also point to the role of the physiological milieu associated with the oneiric experience (state-like factors)."
What about dreams  State of the art and open questions,2,8,"In other words, the specific regional features of the physiological background contingent with dreaming would facilitate or prevent dream recall, potentially explaining intra-individual differences in dream reports."
What about dreams  State of the art and open questions,2,9,This possibil- ity has been investigated mainly by assessing the sleep EEG pattern preceding dream recall.
What about dreams  State of the art and open questions,2,10,"In this way, several studies found that a suc- cessful dream recall was associated with greater frontal theta oscilla- tions before the awakening from REM sleep (Marzano et al., 2011; Scarpelli et al., 2015; Scarpelli et al., 2019b) and reduced parieto- occipital alpha activity before the awakening from NREM sleep (Esposito et al., 2004; Marzano et al., 2011)."
What about dreams  State of the art and open questions,2,11,"As theta and alpha oscil- lations are associated with memory processes during wakefulness (Hsieh & Ranganath, 2014), these results suggest that wakefulness and sleep share the same neurobiological mechanisms for the elabora- tion of episodic memories (see the next paragraph)."
What about dreams  State of the art and open questions,2,12,"On the other hand, a growing number of within-subject investiga- tions (which allows overcoming the possible influence of stable trait- like factors) show that a more desynchronised EEG pattern is associ- ated with dream recall in both NREM and REM sleep (Siclari  et al., 2017; D'Atri et al."
What about dreams  State of the art and open questions,2,13,"2019; Scarpelli et al., 2017; Scarpelli et al., 2020a; but see Wong et al., 2020)."
What about dreams  State of the art and open questions,2,14,"In particular, dream experi- ence would be facilitated by a pattern of reduced slow-wave activity (SWA), most steadily in posterior regions (Siclari et al., 2017, 2018)."
What about dreams  State of the art and open questions,2,15,"Interestingly, lucid dreams, phenomenon characterised by conscious awareness during the oneiric experience, appear associated with greater EEG gamma activity (Baird et al., 2022; Voss et al., 2009)."
What about dreams  State of the art and open questions,2,16,"Fur- thermore, a transcranial current stimulation delivered in a lower gamma range during REM sleep can affect the ongoing electrophysio- logical activity and increase self-reflective awareness in dreams (Voss et al., 2014)."
What about dreams  State of the art and open questions,2,17,"These observations are consistent with “activation” the- oretical models (Antrobus, 1991; Hobson & McCarley, 1977; Koulack & Goodenough, 1976), which postulate that dream recall would be facilitated by a greater level of arousal during sleep, repre- sented at an electrophysiological level by higher brain activation."
What about dreams  State of the art and open questions,2,18,"Indeed, the frequency of dream recall increases in association with a sleep pattern characterised by greater sleep fragmentation (van Wyk et al., 2019), faster spindles, especially in central and posterior cor- tical areas (Siclari et al., 2018), intra-sleep wakefulness (De Gennaro et al., 2010; Eichenlaub et al., 2014b; Vallat et al., 2017), and sleep arousal (Polini et al., 2017; Schredl, 2009)."
What about dreams  State of the art and open questions,2,19,"Furthermore, a night of recovery sleep after a period of prolonged wakefulness, usually characterised by reduced awakenings, almost totally abolished dream recall after the final morning awakening (De Gennaro et al., 2010)."
What about dreams  State of the art and open questions,2,20,"The SWA represents a marker of sleep intensity (Borbély & Achermann, 1999), likely subserving the fading of consciousness during sleep."
What about dreams  State of the art and open questions,2,21,"Thus, the pattern of local SWA reduction in association with dreaming activity may represent the electrophysiological marker of the greater arousal level needed for a successful dream recall."
What about dreams  State of the art and open questions,2,22,"Moreover, this evidence provides a reli- able explanation for the apparently paradoxical occurrence of dreams in states of consciousness (i.e, REM and NREM sleep) characterised by drastically different EEG patterns."
What about dreams  State of the art and open questions,2,23,"Overall, these findings highlight the crucial role of the physiologi- cal state preceding dream recall."
What about dreams  State of the art and open questions,2,24,"However, several questions remain open."
What about dreams  State of the art and open questions,2,25,"First, the influence of circadian and homeostatic factors on the oneiric experience and its electrophysiological pattern is not clear (Chellappa et al., 2011; D'Atri et al., 2019; Scarpelli et al., 2017; Scarpelli et al., 2020a)."
What about dreams  State of the art and open questions,2,26,"Moreover, the impact of the regional distribu- tion of SWA on qualitative dream facets needs to be fully investi- gated, as empirical preliminary evidence has been provided only by Siclari et al."
What about dreams  State of the art and open questions,2,27,(2017).
What about dreams  State of the art and open questions,2,28,"Finally, the possible interaction between state-  and trait-like factors should be carefully considered."
What about dreams  State of the art and open questions,2,29,1.3.
What about dreams  State of the art and open questions,2,30,"| Continuity between waking and dream experience  The above-mentioned “activation hypothesis” represents one of the main theoretical frameworks on dreaming, along with the so-called “continuity hypothesis” (Domhoff, 2017; Schred!| & Hofmann, 2003)."
What about dreams  State of the art and open questions,2,31,"In the early 1970s, Bell and Hall (1971) firstly proposed that waking  experiences may have continuity in sleep."
What about dreams  State of the art and open questions,2,32,"The formulation of the        wos} PapHO[UMOG ""F “ZZOZ “698TSIEL     LOT opywos:Kaptav-Kreaquyar     -IGET OUNTUO AAIEAA “6O9E     g S 8 § 2 & 5     puoo-pur-suus9} (1109      jn x0y Aaeaqny auyUG A2qtyy     8 & < ° 2 3 ="
What about dreams  State of the art and open questions,3,0,4of 12 Pies     SCARPELLI er AL.
What about dreams  State of the art and open questions,3,1,original concept has gone through several re-interpretations and adjustments since then.
What about dreams  State of the art and open questions,3,2,"Early cognitively-oriented studies focussed on the continuity between dream contents and waking events, personal concerns, thoughts, behaviours, and emotions, suggesting that waking-life expe- riences are reflected into subsequent dreams (Nielsen & Powell, 1992; Schredl, 2006; Blagrove, 2011; Vallat et al., 2017)."
What about dreams  State of the art and open questions,3,3,"Compelling evi- dence also showed the key role of the personal and emotional salience in mediating the preferential incorporation of waking-life aspects during mental sleep activity (Malinowski & Horton, 2014)."
What about dreams  State of the art and open questions,3,4,"Further, different time intervals between waking experiences and related dream contents could represent “day-residue effect” or “dream-lag effect” as a function of the elapsed period (ie, 1-2 days and 5-7 days, respectively) (Eichenlaub et al., 2017)."
What about dreams  State of the art and open questions,3,5,"Specifically, the delayed incorporation of waking life events (“dream-lag effect”) was selectively observed during REM sleep and for personally significant events (Van Rijn et al., 2015)."
What about dreams  State of the art and open questions,3,6,A complementary field of study posits the continuity between waking state and mental sleep activity from a neurophysiological per- spective.
What about dreams  State of the art and open questions,3,7,"Namely, a growing body of evidence suggests that brain mechanisms underlying cognitive and emotional functioning remain the same across different states of consciousness (e.g., Marzano et al., 2011; Eichenalub et al., 2018)."
What about dreams  State of the art and open questions,3,8,"The involvement of alpha (8-12 Hz) and theta (5-7 Hz) oscilla- tions in memory-related neural processes during wakefulness are well-established, especially as regards episodic-declarative memory (Klimesch, 1999)."
What about dreams  State of the art and open questions,3,9,"In particular, the increase in the frontal theta activity and the alpha power decrease during the encoding phase of episodic memories were found to play a pivotal role in the subsequent recall of stored information (Hsieh & Ranganath, 2014; Klimesch, 1999)."
What about dreams  State of the art and open questions,3,10,"Over the last two decades, several studies were conducted under the assumption that dream encoding and recall could represent a peculiar form of episodic memory (Fosse et al., 2003)."
What about dreams  State of the art and open questions,3,11,"As previously mentioned, a successful dream recall has been linked to higher frontal theta activity during REM sleep (Marzano et al., 2011; Scarpelli et al., 2015) and lower alpha activity over the temporo-parietal region during NREM (Esposito et al., 2004; Marzano et al., 2011; Takeuchi et al., 2003)."
What about dreams  State of the art and open questions,3,12,"Moreover, the topographical distribution of the above- mentioned frequency bands resembles brain regions involved in encoding and retrieval mechanisms during wakefulness."
What about dreams  State of the art and open questions,3,13,"A large body of experimental studies have also shown the conti- nuity between dreaming and emotional processing (for a review, see Scarpelli et al., 2019c)."
What about dreams  State of the art and open questions,3,14,"First of all, as described in the previous para- graph, neuroimaging studies showed the relationship between qualita- tive and quantitative stable aspects of dream experience and structural parameters of limbic areas (De Gennaro et al., 2011)."
What about dreams  State of the art and open questions,3,15,"Con- sistently, subjects reporting higher levels of fear in their dreams showed a concomitant higher activation of the medial prefrontal cor- tex, responsible for reduced activation of the amygdala, insula, and midcingulate cortex both during sleep and wakefulness (Phelps et al., 2004; Sterpenich et al., 2020)."
What about dreams  State of the art and open questions,3,16,"Further, the main brain circuits involved in emotional processing during wake are highly activated during REM sleep, such as the limbic system (Nir & Tononi, 2010) and  reward system (Perogamvros & Schwartz, 2012)."
What about dreams  State of the art and open questions,3,17,"Notably, a recent simultaneous EEG-functional magnetic resonance imaging study dem- onstrated the privileged re-emergence during sleep of patterns of brain activity associated with a recent rewarding (compared to a non- rewarding) waking experience during sleep (Sterpenich et al., 2021)."
What about dreams  State of the art and open questions,3,18,"Starting from these findings, many researchers stated that dream activity might have a crucial role in processing emotional events expe- rienced during wakefulness (see Scarpelli et al., 2019c)."
What about dreams  State of the art and open questions,3,19,"More in- depth, the theta (Nishida et al., 2009; Boyce et al., 2016; Sopp et al., 2018) and gamma activities (Van Der Helm et al., 2011) were identified as the EEG markers of emotional memory processing."
What about dreams  State of the art and open questions,3,20,"Selec- tive sleep deprivation protocols provided experimental evidence about the lack of emotional memories consolidation in the absence of REM sleep stage (Spoormaker et al., 2014; Wagner et al., 2001), supporting the notion that dreaming represents the privileged sce- nario for the offline reprocessing of waking emotional stimuli."
What about dreams  State of the art and open questions,3,21,"Keeping in mind the unitary perspective across waking and sleep state, several investigations aimed to overcome the boundaries between different states of consciousness directly influencing sleep mentation by different kinds of sensory stimuli administered pre- or during sleep."
What about dreams  State of the art and open questions,3,22,Pre-sleep stimulation methods have been used since the very beginning of dream research.
What about dreams  State of the art and open questions,3,23,The pioneering study by Dement and Wolpert (1958) showed the relation between the 24-h fluid restriction in participants and their subsequent REM dream content.
What about dreams  State of the art and open questions,3,24,"Sensory stimulation through pre-sleep visual stimuli affected dream content by using stressful films (Goodenough et al., 1965) or visual inverting prisms (Corsi-Cabrera et al., 1986)."
What about dreams  State of the art and open questions,3,25,"Concerning sensory stimulation delivered during REM or NREM sleep stages, early studies described the incorporation of meaning ver- bal stimuli (Berger, 1963; Hoelscher et al., 1981)."
What about dreams  State of the art and open questions,3,26,"Also, somatosensory stimulation (e.g., water on the skin, thermal stimulation, pressure cuff, electrical pulses) (Baldridge et al., 1965; Dement & Wolpert, 1958; Koulack, 1969; Nielsen, 1993) or vestibular stimulation (Leslie & Ogilvie, 1996) were found to affect dream content."
What about dreams  State of the art and open questions,3,27,"As expected, these types of stimulation increased vividness and bodily sensation in the dream contents."
What about dreams  State of the art and open questions,3,28,"Recent studies using olfactory stimulation during sleep showed the influence on the emotional content of dreams as a function of the hedonic characteristic of stimuli (Schredl et al., 2009) and the reac- tivation of the odour-associated images (Schredl et al., 2014)."
What about dreams  State of the art and open questions,3,29,"The strong effect of olfactory stimulation on dream emotional aspects is interpreted in terms of direct connections to the limbic system (Smith & Shepherd, 2003)."
What about dreams  State of the art and open questions,3,30,"In the last few years, a promising field of research explored the shared neural circuits between wake and sleep mentation by directly manipulating dream activity via transcranial electrical stimulation tech- niques."
What about dreams  State of the art and open questions,3,31,"Some studies showed that interfering with cortical areas that are notably involved in a specific function during wakefulness influenced the dream content accordingly (Jakobson et al., 2012; Noreika et al., 2020)."
What about dreams  State of the art and open questions,3,32,"Taken together, these results strengthen the hypothesis of shared mechanisms between the awake and sleeping brain from both psycho-  logical and neurobiological perspectives and through experimental     wos} PapHO[UMOG ""F “ZZOZ “698TSIEL     LOT opywos:Kaptav-Kreaquyar     -IGET OUNTUO AAIEAA “6O9E     g S 8 § 2 & 5     puoo-pur-suus9} (1109      jn x0y Aaeaqny auyUG A2qtyy     8 & < ° 2 3 ="
What about dreams  State of the art and open questions,4,0,SCARPELLI er At.
What about dreams  State of the art and open questions,4,1,manipulations.
What about dreams  State of the art and open questions,4,2,"However, the intrinsic restraint due to the impossibility of directly investigating the dream content represents a common limi-  tation of these studies."
What about dreams  State of the art and open questions,4,3,1.4 | What about direct access to dream experience?
What about dreams  State of the art and open questions,4,4,The issue concerning dream access is definitively the most complex to address.
What about dreams  State of the art and open questions,4,5,"Indeed, the real object of study in the abovementioned inves- tigations (e.g., Chellappa et al., 2011; Marzano et al., 2011; Scarpelli et al., 2015, 2017; Scarpelli et al., 2020a; Scarpelli et al., 2019b; Siclari et al., 2017) is “dream recall’ and not the dream experience itself."
What about dreams  State of the art and open questions,4,6,"In other words, dreaming is not directly observable, and researchers are able to obtain information about the oneiric activity just requiring a dream report to the individual when he is awake."
What about dreams  State of the art and open questions,4,7,"Also, we have already discussed that detecting the exact moment in which the dreams are produced during sleep is very difficult."
What about dreams  State of the art and open questions,4,8,"From a methodological point of view, three approaches to collect dreaming are well-known: (a) retrospective, (b) prospective, and (c) provoked awakenings with subsequent dream reports."
What about dreams  State of the art and open questions,4,9,"While the retrospective method allows researchers to collect dreaming through interviews or questionnaires in large samples quickly, the prospective protocol (i.e., dream diaries; longitudinal dream report collection) is less prone to memory biases (Robert & Zadra, 2008)."
What about dreams  State of the art and open questions,4,10,"These two strat- egies allow classifying people in high and low recallers, helping to investigate the neurobiological trait-like features of dreamers (e.g., Eichenlaub et al., 2014b; Eichenlaub et al, 2014a; Ruby et al., 2021; van Wyk et al., 2019)."
What about dreams  State of the art and open questions,4,11,"However, the most accurate approach is represented by the provoked awakenings associated with the polysomnography (PSG) of one or more sleep nights in a labora- tory."
What about dreams  State of the art and open questions,4,12,"Generally, participants are awakened to explore the presence of a dream report and to compare the recall and non-recall condition (Scarpelli et al., 2017; Scarpelli et al., 2020a; Siclari et al., 2017) or the report's qualitative features (Scarpelli et al., 2020b), correlating them with the specific EEG patterns preceding the awakening."
What about dreams  State of the art and open questions,4,13,"It is worth noting that the narration of dream contents could be influenced by many biases after awakenings, such as the experimental setting (Schredl, 2008), the physiological background of waking-life and by individual variables, such as personality, cognitive functions, censure/ omissions and socio-cultural features (Nir & Tononi, 2010), making dream reports not always completely reliable."
What about dreams  State of the art and open questions,4,14,How can we overcome this obstacle?
What about dreams  State of the art and open questions,4,15,"In this regard, recent studies have suggested that viable access to mental sleep activity is represen- ted by dream-enacting behaviours (DEBs; Baltzan et al., 2020)."
What about dreams  State of the art and open questions,4,16,"Any acting out of a dream during sleep characterised by motor, emotional or verbal components may be considered a direct observation of dream experience while the subject is asleep (Nielsen et al., 2009)."
What about dreams  State of the art and open questions,4,17,"In this view, the study of parasomnias or parasomnia-like events, ie., REM behaviour disorder (RBD), sleep walking, nightmares, and sleep talking, may provide new insights about dreaming."
What about dreams  State of the art and open questions,4,18,"Interestingly,  some investigations highlighted a strong level of congruence between  the body movements, verbal or emotional expressions during sleep and the subsequent components of dream recall (Arkin et al., 1970; Leclair-Visonneau et al., 2010; Oudiette et al., 2009; Rocha & Arnulf, 2020)."
What about dreams  State of the art and open questions,4,19,"Assessing REMs in patients with RBD, Leclair-Visonneau et al."
What about dreams  State of the art and open questions,4,20,"(2010) found a concordance between limbs, head, and eye movements during the REM behaviour episode."
What about dreams  State of the art and open questions,4,21,"The authors suggested that REMs may imitate the scanning of the dream scenario according to the so-called “scanning hypothesis” (Arnulf, 2011; Leclair-Visonneau et al., 2010)."
What about dreams  State of the art and open questions,4,22,"Moreover, Oudiette et al."
What about dreams  State of the art and open questions,4,23,"(2009) rev- ealed that during sleepwalking or sleep terror episodes, subjects show complex motor behaviours strictly related to their oneiric scenes."
What about dreams  State of the art and open questions,4,24,"The same group has demonstrated that sleepwalkers are able to replay the recently trained behaviour during the parasomnia episode, supporting the idea that dream enactment may have a pivotal role in memory processing during sleep (Oudiette et al., 2011)."
What about dreams  State of the art and open questions,4,25,"More recently, Rivera-Garcia et al."
What about dreams  State of the art and open questions,4,26,(2019) investigated the activa- tion of facial muscles during REM sleep among healthy women.
What about dreams  State of the art and open questions,4,27,They considered facial expressions during sleep on a par with DEBs and an index of emotional dreams.
What about dreams  State of the art and open questions,4,28,"Consistently, the previous literature shows that DEBs are more frequent during intense emotional dreams, such as nightmares (Nielsen et al., 2009)."
What about dreams  State of the art and open questions,4,29,"Indeed, the authors revealed that the activation of corrugator and zygomatic muscles are highly associated with dreams featured by negative affect (Rivera-Garcia et al."
What about dreams  State of the art and open questions,4,30,(2019)).
What about dreams  State of the art and open questions,4,31,"Also, sleep talking could be considered an additional non- pathological parasomnia-like event related to dreaming (Alfonsi et al., 2019; Mangiaruga et al., 2021)."
What about dreams  State of the art and open questions,4,32,"During sleep, the audible ver- balisations may represent access to oneiric contents (Arkin et al., 1970; Alfonsi et al., 2019)."
What about dreams  State of the art and open questions,4,33,"In this regard, some studies showed different degrees of correspondence between sleep talking and dreaming (Arkin et al., 1970; Rechtschaffen et al., 1962)."
What about dreams  State of the art and open questions,4,34,Arkin et al.
